date,pypsa_revenue,pypsa_violations,pypsa_v_min,pypsa_v_max,dp_revenue,dp_violations,dp_v_min,dp_v_max,spread,max_price,mean_price
2024-01-01,3.4120722916666666,11,0.9280849700018649,1.0821720857818444,4.7736406250000005,7,0.9264462755772389,1.0507334218096287,65.40166666666667,63.17666666666667,43.15298611111111
2024-01-02,2.6302833333333338,11,0.926446436234659,1.058740214709769,8.215484374999999,9,0.9264464292220521,1.05904189834913,79.32000000000001,99.99833333333333,53.62107638888889
2024-01-03,7.296576566828256,10,0.9264462756056503,1.1071720179297018,19.039244791666665,5,0.9264462955992868,1.0780464712112572,147.45666666666665,138.005,65.21951388888888
2024-01-04,2.7888933333333332,11,0.926446436234659,1.058740214709769,4.069916666666667,9,0.926446436234659,1.0429680050819152,51.18333333333334,77.295,53.07788194444444
2024-01-05,3.3912742820867967,9,0.9264463057696981,1.0662925113437365,8.411911458333332,8,0.9264464137563304,1.1093217433472686,92.215,82.78,39.14152777777778
2024-01-06,2.8680362419205925,11,0.9264464362346589,1.093938864723173,12.78009375,6,0.9264463346749654,1.0873649576600515,107.81333333333333,89.045,39.09027777777778
2024-01-07,3.8615066666666684,13,0.926446436234659,1.1071719758572578,13.949682291666667,11,0.9264462755805338,1.1071722677799616,135.33333333333334,110.175,51.37895833333334
2024-01-08,5.059313333333333,11,0.926446436234659,1.058740214709769,8.673265624999999,11,0.9264462756052888,1.11004104835456,77.70166666666667,113.06166666666667,71.00979166666666
2024-01-09,10.556839381348102,7,0.9264462755804908,1.058740214709769,17.425979166666664,10,0.926446436234659,1.109321598453465,155.50833333333335,203.82833333333335,85.16090277777778
2024-01-10,16.14956185595568,9,0.9264462755772389,1.0739342527985634,31.74043229166667,7,0.9264462955876258,1.0939219436368404,209.6533333333333,238.26,98.9426736111111
2024-01-11,4.642270000000001,11,0.926446436234659,1.058740214709769,9.521088541666668,9,0.9264457237173359,1.103674388502165,84.00666666666665,126.59666666666665,77.78888888888888
2024-01-12,5.112773638042476,11,0.926446436234659,1.099064295870412,16.0495625,6,0.9264460576791734,1.0587408434007888,129.00666666666666,146.25166666666667,80.15611111111112
2024-01-13,6.173904226108035,11,0.9264462755772392,1.103674388502165,16.943473958333335,6,0.926446436234659,1.0900034843166877,139.64833333333334,137.69,60.287256944444444
2024-01-14,4.358205625000001,11,0.926446436234659,1.0879588031138208,15.169078125000002,10,0.9264462755805338,1.1071722563406912,122.91333333333334,89.03833333333334,33.397777777777776
2024-01-15,4.285300833333333,7,0.9264462755808619,1.058740214709769,10.153458333333331,6,0.9264462956030246,1.0943234674180162,96.71666666666665,128.48166666666665,59.02815972222222
2024-01-16,15.602821155355498,17,0.926446436234659,1.1100410346188967,25.041734375,14,0.9264461059262744,1.1100436470647705,214.635,253.12666666666667,81.06784722222221
2024-01-17,3.3881894575253932,11,0.926446275609214,1.1071719758572578,14.743281249999997,7,0.9264461059262744,1.1036743906191866,123.5,170.795,90.97798611111112
2024-01-18,125.34860645833334,6,0.9264462755805368,1.1036743906191866,130.72909895833334,5,0.9264462756056507,1.1036743906191866,1457.8916666666667,942.8116666666666,42.25336805555555
2024-01-19,51.89483716008772,5,0.9264462755805377,1.0739371728308948,58.65046354166667,6,0.9264461452955419,1.0899984090234085,753.5116666666667,648.4016666666666,71.09041666666667
2024-01-20,3.618880000000001,9,0.9264462756056503,1.058740214709769,7.593817708333333,7,0.9264462755772389,1.0662925113437365,71.40833333333333,91.67,61.15628472222223
2024-01-21,751.7145971445061,4,0.9264462755805377,1.1036743906191866,758.0283437500001,3,0.9264462755772392,1.0808530381261319,8007.305,8008.1050000000005,423.54375000000005
2024-01-22,28.017406250000008,3,0.9371428285511947,1.0587408434007888,31.245239583333333,3,0.9371428285512196,1.0587408434726053,284.95,125.46333333333332,52.375798611111115
2024-01-23,9.391025881809789,8,0.9264462755808568,1.058740214709769,17.095255208333334,5,0.926446436234659,1.0464823681367275,165.38,201.46833333333333,65.95822916666667
2024-01-24,15.920830625,8,0.9264462755804908,1.0808530381261319,24.088494791666665,7,0.9264462956079915,1.093945812524006,210.90166666666667,253.12666666666667,79.95697916666667
2024-01-25,7.373432373037859,9,0.9264462755808619,1.0990644225167807,11.374442708333333,7,0.9264464362346592,1.0990644225167807,93.22333333333333,151.98333333333332,88.91232638888887
2024-01-26,137.19721536126502,4,0.934539061143257,1.093938864723173,141.65951041666668,4,0.926446275580534,1.1071719758572578,2247.0983333333334,2165.2833333333333,91.47038194444444
2024-01-27,33.007242188365645,5,0.9264462755805394,1.058740214709769,37.63736458333333,8,0.9264462755805338,1.0990644225167807,568.3166666666667,419.925,48.601979166666666
2024-01-28,15.416821419667588,8,0.9264461059283227,1.060392544545388,22.544776041666665,7,0.9264462755772389,1.0590418983493097,244.33333333333331,253.6533333333333,58.20756944444444
2024-01-29,259.12303543686517,8,0.926446275580534,1.110043647091674,273.2403072916667,6,0.9264461059297535,1.1025795255603874,2374.93,2361.8816666666667,189.02069444444444
2024-01-30,7.652458956602032,7,0.9264462755808568,1.058740214709769,16.379151041666663,7,0.9264462755805338,1.1093217433472686,117.68666666666667,164.64833333333334,78.68947916666667
2024-01-31,12.346371255771007,12,0.926446436234659,1.1071720206546138,19.926125000000003,10,0.9264463138259488,1.107171975857253,198.27499999999998,234.01333333333332,82.65340277777777
2024-02-01,33.25608404432133,7,0.9264462755805364,1.0990604235424857,38.020552083333335,9,0.926446335106026,1.1071719729905447,294.2766666666667,332.72333333333336,93.41284722222224
2024-02-02,73.7434816129963,7,0.9264462755805377,1.0939269678206012,80.26782291666667,4,0.9264462755805382,1.0585735732415185,786.1483333333333,811.6033333333334,120.64302083333332
2024-02-03,21.293971140350877,6,0.9264462755805377,1.0739371728308948,28.431437499999998,5,0.9264463138259452,1.061563078808473,233.31499999999997,269.715,87.7611111111111
2024-02-04,40.84898322656971,11,0.9264462756056503,1.109321743206396,50.404624999999996,4,0.9264462955850042,1.086040604293519,323.2233333333333,335.3533333333333,105.8981597222222
2024-02-05,172.55193031336566,7,0.9264463057732499,1.1100437399517973,187.98677083333337,8,0.9264461240986477,1.110043647091674,2124.3366666666666,2174.5733333333333,198.9585763888889
2024-02-06,16.467600932594646,6,0.9264462755804365,1.058740214709769,22.88104166666667,6,0.9264463351209458,1.0587408434007888,222.50166666666667,147.84333333333333,68.47635416666667
2024-02-07,3.7392064583333338,11,0.926446436234659,1.0970127850577944,9.229505208333334,10,0.9264464362346589,1.1093217433472686,99.61833333333334,95.93,58.013715277777784
2024-02-08,23.434459561403507,6,0.9264462755725947,1.0808530381261319,27.72947395833333,7,0.9264462955983851,1.0951030142495684,245.93333333333334,274.9216666666667,68.31052083333334
2024-02-09,3.294756458333335,9,0.9264463057732534,1.058740214709769,8.828536458333332,9,0.9264463351209455,1.1071720031930092,72.18333333333332,102.40499999999999,59.32267361111111
2024-02-10,7.951227349953832,9,0.9264462755725957,1.110043647091674,18.988234374999998,10,0.926446436234659,1.110040995942222,143.965,100.63166666666666,38.978125
2024-02-11,19.033897900507853,8,0.926446455385273,1.1093217906500352,29.486250000000002,10,0.9264462955992868,1.1071721464646846,216.94000000000003,184.07833333333335,45.17180555555556
2024-02-12,34.89017421052632,7,0.9264464362346589,1.0939269678206012,45.58415625,8,0.92644629558752,1.1071750710091453,300.98499999999996,317.3566666666666,97.16555555555556
2024-02-13,33.72518047206833,8,0.926446455385273,1.1071719729911598,40.108484375,8,0.9264461241068535,1.1046806206377833,263.9383333333334,273.15833333333336,81.186875
2024-02-14,15.431312253000925,12,0.9264464362346589,1.1071719729909406,22.906729166666665,8,0.9264463138140573,1.1071719729900558,204.25166666666667,248.785,83.78472222222223
2024-02-15,7.749560833333336,6,0.9264463640125142,1.058740214709769,14.369999999999997,5,0.9264461868904286,1.093938864723173,126.79166666666666,150.68833333333333,64.47409722222223
2024-02-16,3.7413533333333335,11,0.926446436234659,1.058740214709769,8.103989583333334,9,0.9264462755805338,1.1071719729909406,65.90333333333332,107.58666666666666,71.88555555555556
2024-02-17,14.722961745152357,11,0.9264462755804908,1.1071720212645262,22.746432291666668,10,0.9264463347482211,1.1071719729909395,178.88666666666668,179.51166666666668,64.97649305555557
2024-02-18,18.278727500000002,16,0.926446436234659,1.109321598453465,23.597880208333336,11,0.9264463351209455,1.1071719729910412,221.31333333333336,216.34500000000003,64.56378472222222
2024-02-19,3.713724583333337,11,0.9264463057732267,1.103674388502165,12.201234374999999,10,0.9264461059297538,1.11004104835456,102.46500000000002,129.14000000000001,73.02934027777779
2024-02-20,22.59936420129271,7,0.9264462755772392,1.0808530381261319,33.05681250000001,6,0.9264462755772389,1.076849183980948,403.9833333333334,415.85666666666674,69.50975694444445
2024-02-21,20.976365350877202,8,0.9264462755772392,1.0990644225167807,27.54636458333333,6,0.9264462955876258,1.099236807963011,253.055,276.29833333333335,78.67090277777777
2024-02-22,57.74904559210526,10,0.9264462755992852,1.1093180088501589,67.12049479166667,8,0.9264463351209401,1.1071722724901225,474.53499999999997,463.3883333333333,107.85708333333334
2024-02-23,273.70918854166666,9,0.9264462755805342,1.1093175944291715,281.60293229166666,5,0.9264462755804365,1.0992292968239201,2609.563333333333,2460.12,211.20753472222222
2024-02-24,4.754299416551249,7,0.9264462756056503,1.0808530381261319,9.568432291666667,8,0.9264462956030245,1.0808530381261319,126.09666666666666,115.99666666666667,59.925763888888895
2024-02-25,9.831866548938136,13,0.9264463345367245,1.1100437816376647,21.963546875,9,0.9264463351209453,1.1100458970529676,157.965,119.93666666666667,56.51145833333333
2024-02-26,105.31243633425667,7,0.9264462756062387,1.1071719758572578,112.32215624999999,5,0.9264462755772394,1.1093217433472686,1793.1566666666665,1676.0116666666665,100.33100694444444
2024-02-27,14.509377285318557,8,0.9264461059297538,1.0739328769362062,21.98231770833333,6,0.926446436234659,1.0808530381261319,158.98166666666665,212.17333333333332,86.34934027777778
2024-02-28,25.14226394736842,8,0.9264462755807726,1.0808284344069143,33.53234375,7,0.9264463138259316,1.110043647091674,284.70833333333337,321.01500000000004,88.16173611111111
2024-02-29,1593.7175553179825,13,0.9264462756027085,1.1100410483545362,1588.4534270833333,10,0.9264463351078368,1.1046806206377833,13292.095,13325.676666666666,833.6417708333333
2024-03-01,15.448790625000004,8,0.9264463640125142,1.0808530381261319,25.530427083333333,9,0.9264462755805338,1.11004104835456,200.48833333333334,229.70833333333334,92.62815972222222
2024-03-02,10.198711304824565,5,0.926446455385273,1.0739371728308948,15.980046875,9,0.9264462955876258,1.1071750422911053,114.46833333333333,152.87833333333333,75.44690972222223
2024-03-03,3.2150337500000026,9,0.9264463057732534,1.0990644225167807,11.984874999999999,8,0.9264462755807653,1.1071719758572578,108.31333333333332,128.73333333333332,61.98677083333334
2024-03-04,4.889892717566943,9,0.9264461379237512,1.0808530381261319,10.109828124999998,6,0.9264461059262744,1.0808530381261319,107.84833333333333,123.445,62.01951388888889
2024-03-05,11.079346431209604,7,0.926446455385273,1.0939219092752879,24.059609375000004,10,0.9264463347482211,1.1100410347553649,168.95666666666668,162.52,70.23493055555555
2024-03-06,6.493735191020314,11,0.9264461059283227,1.1036743906191866,19.976911458333333,9,0.9264463351209455,1.1071722677798455,140.88833333333335,172.84833333333336,91.17520833333333
2024-03-07,6.766911330794092,11,0.9264462755772389,1.1071719729909406,11.354624999999999,7,0.9264462756104926,1.1071719729909406,119.40833333333333,124.33333333333333,68.02628472222221
2024-03-08,29.64286236842105,7,0.9264462755805377,1.0990644225167807,40.09394270833333,6,0.9264462755805383,1.0992476996656408,259.565,299.985,103.87506944444446
2024-03-09,32.597415392428445,8,0.9264461059297538,1.099056092947262,43.31469791666667,10,0.9264464362322208,1.1071722677800573,308.315,292.29,75.7089236111111
2024-03-10,37.43960045706372,9,0.9264462755805377,1.1093217433472686,47.54588541666667,6,0.9264464362333832,1.0900034841888955,320.1,299.99,71.61607638888889
2024-03-11,24.449113903508774,6,0.9264462755805377,1.093938864723173,40.166692708333336,6,0.9264462755772392,1.102579697124392,275.7633333333333,296.31166666666667,94.00652777777778
2024-03-12,25.014525964912277,9,0.9264462755804908,1.103674626644121,35.20791666666666,8,0.9264463351209455,1.103674626644121,240.0583333333333,244.42166666666665,89.83468749999999
2024-03-13,14.074904626038776,8,0.9264462755804908,1.0808530381261319,22.570249999999994,6,0.926446436234659,1.1093217454435105,182.67166666666668,244.23000000000002,95.69479166666667
2024-03-14,4.401592916666666,13,0.926446436237118,1.1093217454435105,18.73122395833333,9,0.9264463138259451,1.1071750957873505,122.69666666666667,142.405,73.90784722222223
2024-03-15,14.163945503808868,9,0.9264462755808619,1.1071719729909406,25.686385416666667,7,0.926446470362553,1.1071719729900886,261.48,256.62,64.95274305555556
2024-03-16,15.340640095221609,13,0.926446305773258,1.109321598453465,23.85115104166666,10,0.9264461059262744,1.1036743885021625,174.32333333333332,138.355,60.87722222222222
2024-03-17,8.129905484764542,13,0.926446275572595,1.1071722725312598,22.18372395833333,7,0.926446470362553,1.0992477895535708,176.53166666666664,153.79666666666665,58.54569444444445
2024-03-18,3.166864166666669,11,0.926446436234659,1.0808530381261319,13.245734375000001,8,0.9264462955992868,1.1093215984263949,98.26666666666668,127.72000000000001,71.25465277777778
2024-03-19,3.5536666666666665,11,0.926446436234659,1.058740214709769,15.452869791666664,8,0.9264463138259452,1.1100400006156077,112.51,128.155,63.63809027777777
2024-03-20,4.090245208333335,9,0.9264462755725947,1.1036743906191866,16.360609375,6,0.926446436234659,1.1036682282343269,137.4066666666667,132.26500000000001,62.88375
2024-03-21,9.797379575253924,14,0.9264461059283227,1.1100410448512479,26.009390625,10,0.9264462755805383,1.110043675452652,166.27833333333334,121.14,44.67125000000001
2024-03-22,3.8301810416666666,10,0.9264463057501712,1.058740214709769,10.827322916666665,6,0.926445723719724,1.1100436471655872,101.72333333333333,114.30499999999999,57.93756944444444
2024-03-23,9.070873259464452,13,0.9264464362346592,1.1036743906191866,19.77496354166667,7,0.926446313820579,1.0950954258411152,157.6783333333333,147.04,65.6854513888889
2024-03-24,7.14231460584026,12,0.9264462755772391,1.1093217433472686,16.619765625,10,0.9264463351209455,1.11004104835456,176.52666666666667,128.135,59.237430555555555
2024-03-25,7.988791938481073,13,0.9264462755804365,1.1100476212055903,22.828296874999996,7,0.926446470362553,1.1100436470647748,188.87166666666667,144.03833333333333,65.32034722222222
2024-03-26,35.02933437673129,7,0.9264462755805386,1.1036743905941075,46.54836979166667,7,0.9264463351082317,1.107171975874474,260.955,281.0933333333333,95.5477777777778
2024-03-27,13.21556963815789,10,0.9264462755772389,1.1071719758572527,21.942755208333335,6,0.926446436234659,1.1071719758635823,160.38333333333333,176.355,71.03881944444444
2024-03-28,4.611444166666668,10,0.9264463057740853,1.1071719729909406,13.969369791666667,8,0.9264462755804908,1.1071659602179893,128.29833333333332,115.58833333333332,61.711215277777775
2024-03-29,15.084692499999997,12,0.9264462755804365,1.1093217433472686,21.00583333333333,10,0.926446470362553,1.110043647091674,159.94166666666666,133.535,53.552013888888894
2024-03-30,21.994791929824565,12,0.9264462755804365,1.109318008850085,24.845999999999997,10,0.9264463351209457,1.1100410347553649,175.885,130.87833333333333,50.62968749999999
2024-03-31,19.030426809787627,12,0.9264464553852734,1.110043647091674,23.352114583333336,10,0.9264462955992873,1.1053922494823876,164.26333333333332,140.00333333333333,50.78315972222222
2024-04-01,2.62751,11,0.926446436234659,1.058740214709769,17.28684375,9,0.9264463351067188,1.1036746292705943,141.35,118.56666666666666,53.92024305555555
2024-04-02,11.538025634810714,10,0.9264461059297493,1.1036746255235181,16.488828125,11,0.9264462755843516,1.1071722725312603,128.78,110.50333333333333,52.36052083333334
2024-04-03,22.882381228070173,8,0.9264462755805377,1.1093217433472686,34.37479166666667,6,0.9264462755805383,1.0992478721938432,248.63166666666666,267.76,101.46788194444444
2024-04-04,5.414618958333334,11,0.926446436234659,1.08778687523884,6.1358854166666665,10,0.926446208193894,1.066775616176989,58.36333333333332,97.90333333333332,71.34628472222222
2024-04-05,9.475157266851335,15,0.9264464362346592,1.109321598453465,14.985692708333337,14,0.9264463932918883,1.109321745436877,113.64499999999998,164.82,79.97184027777777
2024-04-06,4.501991975992613,10,0.9264462755725947,1.058740214709769,20.401515625,9,0.9264464914853842,1.107172267779757,130.695,144.89833333333334,83.62291666666665
2024-04-07,17.63713657894737,10,0.9264462755992854,1.110043647091674,24.234796875,11,0.9264463339287886,1.110041096254902,174.56,153.61,74.6698263888889
2024-04-08,18.82850664589104,10,0.9264462755804365,1.110043647091674,30.46478645833333,8,0.926446470362553,1.1036698312947626,170.66,183.26166666666666,90.40288194444445
2024-04-09,20.98016541089566,13,0.9264462755804365,1.1100410347553649,28.859390624999996,8,0.926446470362553,1.1093215984218932,206.60833333333332,172.04833333333332,68.41493055555556
2024-04-10,17.63592087719298,8,0.9264462755805365,1.0990644225167807,22.75405729166667,5,0.926446470362553,1.0961562037937906,153.08,151.49166666666667,63.84361111111111
2024-04-11,40.9461784810711,11,0.9264462755805365,1.1093217923146776,47.29225,7,0.9264464914853842,1.1036698312947626,309.485,270.81666666666666,79.42343749999999
2024-04-12,25.08748175438597,8,0.9264464553852734,1.0990604235424857,35.302052083333336,8,0.9264462755772389,1.1071719758635843,240.46999999999997,215.4433333333333,76.09847222222221
2024-04-13,36.17303270083103,7,0.9264462755805365,1.0939388648187915,45.69891666666667,7,0.9264463352118313,1.11004104835456,298.48333333333335,292.44666666666666,93.3129513888889
2024-04-14,48.37601181094183,9,0.9264462755772389,1.1071719758572578,54.91352604166667,7,0.9264462755805386,1.1071750858890976,334.9200000000001,294.39000000000004,98.76732638888889
2024-04-15,62.16523272218376,6,0.9264462755805338,1.1071719758572578,70.70335937499999,4,0.9264462755805383,1.1071722725312598,305.35,305.40500000000003,140.66885416666665
2024-04-16,58.03511876731301,8,0.9264464553852734,1.110043647091674,65.33901041666667,5,0.9264463138259452,1.0939219436368404,265.785,305.365,142.99722222222223
2024-04-17,18.83877078485687,7,0.9264462755804365,1.0990644225167807,30.619083333333336,7,0.926446335108232,1.1001561511504985,160.96499999999997,234.38833333333332,120.27743055555555
2024-04-18,30.003256743421055,8,0.9264464553852734,1.110043647091674,37.80321875,7,0.9264462756104926,1.1071719758635816,207.33333333333331,234.04833333333332,106.5298263888889
2024-04-19,17.285618264081254,10,0.9264462755805365,1.1100436470647703,30.10671875,7,0.9264464914853842,1.1036698312947626,194.92000000000002,184.27166666666668,86.08909722222222
2024-04-20,15.629027225300094,10,0.9264462755808619,1.1036743885110682,22.903494791666667,7,0.9264462755805386,1.093921905145258,196.74833333333333,204.84666666666666,83.33996527777778
2024-04-21,24.22716824561404,9,0.9264462755807726,1.1036743906191866,26.903567708333334,10,0.9264463351209457,1.1071719758572578,230.79166666666669,250.06333333333336,82.90524305555554
2024-04-22,41.17578462142198,9,0.9264462755805365,1.11004104835456,49.06831770833334,9,0.9264462755805365,1.1093215835545593,317.2033333333333,299.99,95.3940277777778
2024-04-23,30.705631370614036,12,0.9264462755804365,1.109318008850085,34.25160416666667,8,0.926446470362553,1.1071678750574117,263.86833333333334,249.59833333333333,71.09239583333334
2024-04-24,16.289049963065555,9,0.9264462755804365,1.0990644225167807,25.761921875,7,0.926446470362553,1.1025796971243922,188.62666666666664,194.68166666666664,73.02749999999999
2024-04-25,27.818643333333334,11,0.9264464553852733,1.11004104835456,32.698328125,9,0.9264463352118131,1.1100410348762038,230.335,185.89666666666668,75.25881944444446
2024-04-26,38.15134280701755,8,0.9264462755805365,1.0990604235424857,43.47502083333333,6,0.9264463351209457,1.093921911773244,280.75333333333333,299.9866666666667,111.9082986111111
2024-04-27,48.95904391620498,11,0.9264462755805365,1.109318008850085,51.23721875,9,0.9264462755772392,1.109321743224684,320.5183333333333,282.46,90.55381944444444
2024-04-28,53.111979649122816,11,0.9264462755807726,1.110043647091674,54.42323958333334,10,0.9264463351082314,1.10716529712019,345.94666666666666,299.98833333333334,83.87906249999999
2024-04-29,47.443493749999995,11,0.9264464553852734,1.109321743206396,56.97506249999999,8,0.926446470362553,1.1071722599295772,386.42333333333335,360.82666666666665,117.47812499999999
2024-04-30,23.61696875692521,10,0.9264464553852734,1.1093215929740041,32.600348958333335,7,0.9264462955983851,1.107171975857253,240.54166666666666,299.83,125.97909722222221
